,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-29.028166,0.0,-29.028166,11,-23.222908,4.4928754e-08,-23.222908
0.0006244,2,-29.028190999999996,9.201459999999999e-05,-29.028098999999997,11,-23.222931,6.968622800000001e-05,-23.222862
0.0008759,3,-29.028201,0.00012861542,-29.028071999999998,11,-23.222941,9.7912135e-05,-23.222843
0.0012286,4,-29.028215000000003,0.00018044958,-29.028034,11,-23.222954,0.00013826376,-23.222816
0.0017234,5,-29.028234,0.00025354962999999997,-29.02798,11,-23.222972,0.00019589612000000002,-23.222776
0.0024174,6,-29.028259000000002,0.00035604648000000003,-29.027903000000002,11,-23.222996,0.00027802476000000003,-23.222718
0.0033909,7,-29.028295,0.00049872784,-29.027796000000002,11,-23.223029999999998,0.00039471896,-23.222635999999998
0.0047565,8,-29.028343,0.0006955331,-29.027648,11,-23.223077,0.0005598709200000001,-23.222517
0.006672,9,-29.028409999999997,0.0009638912699999999,-29.027446,11,-23.223142000000003,0.00079224842,-23.22235
0.0093589,10,-29.028502000000003,0.0013247026,-29.027177000000002,11,-23.223232,0.0011165986,-23.222115
0.0131278,11,-29.02863,0.0018015220999999999,-29.026828000000002,11,-23.223357999999998,0.0015644777,-23.221792999999998
0.0184145,12,-29.028809999999996,0.0024188943,-29.026391999999998,11,-23.223536,0.0021737144,-23.221362
0.0258302,13,-29.02907,0.0031994918,-29.02587,11,-23.223793,0.0029847553000000005,-23.220807999999998
0.0362323,14,-29.029455,0.0041609984,-29.025294,11,-23.224173999999998,0.004033150399999999,-23.220141
0.0508234,15,-29.030057,0.0053245599,-29.024732,11,-23.224756,0.0053460466,-23.21941
0.0712906,16,-29.03097,0.0068667597,-29.024103000000004,11,-23.225614,0.0070608673,-23.218553
0.1,17,-29.032228999999997,0.009179142900000001,-29.02305,11,-23.226772,0.0094693959,-23.217302
0.140271,18,-29.033862,0.012619958999999998,-29.021241999999997,11,-23.228237,0.012775413999999999,-23.215462
0.19676,19,-29.035911,0.017535154,-29.018376,11,-23.230027,0.017102091,-23.212925
